army	commander	EMPLOYER
police	commander	EMPLOYER
church	commissioner	EMPLOYER
police	commissioner	EMPLOYER
army	general	EMPLOYER
police	general	EMPLOYER
church	accountant	EMPLOYER
consumer	activist	EMPLOYER
labor	activist	EMPLOYER
state	administrator	EMPLOYER
government	adviser	EMPLOYER
child	advocate	EMPLOYER
consumer	advocate	EMPLOYER
government	agency	EMPLOYER
state	agency	EMPLOYER
government	agent	EMPLOYER
police	agent	EMPLOYER
committee	aide	EMPLOYER
government	analyst	EMPLOYER
network	anchor	EMPLOYER
government	army	EMPLOYER
state	assemblyman	EMPLOYER
family	attorney	EMPLOYER
government	attorney	EMPLOYER
state	attorney	EMPLOYER
district	auditor	EMPLOYER
government	auditor	EMPLOYER
state	auditor	EMPLOYER
district	authorities	EMPLOYER
government	bank	EMPLOYER
army	battalion	EMPLOYER
state	biologist	EMPLOYER
state	board	EMPLOYER
government	body	EMPLOYER
state	body	EMPLOYER
state	bureaucracy	EMPLOYER
government	bureaucrat	EMPLOYER
government	candidate	EMPLOYER
army	captain	EMPLOYER
team	captain	EMPLOYER
government	censor	EMPLOYER
church	choir	EMPLOYER
court	clerk	EMPLOYER
circus	clown	EMPLOYER
newspaper	columnist	EMPLOYER
government	commission	EMPLOYER
state	commission	EMPLOYER
state	commissioner	EMPLOYER
government	committee	EMPLOYER
parliament	committee	EMPLOYER
state	committee	EMPLOYER
village	committee	EMPLOYER
police	constable	EMPLOYER
government	contractor	EMPLOYER
state	controller	EMPLOYER
army	convoy	EMPLOYER
state	coordinator	EMPLOYER
state	corporation	EMPLOYER
state	councillor	EMPLOYER
business	counsel	EMPLOYER
government	delegation	EMPLOYER
military	delegation	EMPLOYER
parliament	delegation	EMPLOYER
government	department	EMPLOYER
state	department	EMPLOYER
police	detective	EMPLOYER
state	director	EMPLOYER
police	dispatcher	EMPLOYER
army	doctor	EMPLOYER
team	doctor	EMPLOYER
department	economist	EMPLOYER
government	economist	EMPLOYER
magazine	editor	EMPLOYER
airline	employee	EMPLOYER
college	employee	EMPLOYER
court	employee	EMPLOYER
government	employee	EMPLOYER
office	employee	EMPLOYER
prison	employee	EMPLOYER
state	employee	EMPLOYER
store	employee	EMPLOYER
university	employee	EMPLOYER
state	engineer	EMPLOYER
government	entity	EMPLOYER
state	entity	EMPLOYER
magazine	entrepreneur	EMPLOYER
police	escort	EMPLOYER
army	expert	EMPLOYER
government	expert	EMPLOYER
police	expert	EMPLOYER
state	expert	EMPLOYER
alliance	force	EMPLOYER
army	force	EMPLOYER
government	force	EMPLOYER
government	functionary	EMPLOYER
state	group	EMPLOYER
village	guard	EMPLOYER
government	hand	EMPLOYER
state	hand	EMPLOYER
government	hostage	EMPLOYER
government	informant	EMPLOYER
police	informant	EMPLOYER
police	informer	EMPLOYER
government	inspector	EMPLOYER
police	inspector	EMPLOYER
state	inspector	EMPLOYER
army	investigator	EMPLOYER
government	investigator	EMPLOYER
police	investigator	EMPLOYER
state	investigator	EMPLOYER
state	jury	EMPLOYER
state	lawmaker	EMPLOYER
family	lawyer	EMPLOYER
government	lawyer	EMPLOYER
state	lawyer	EMPLOYER
state	legislator	EMPLOYER
state	legislature	EMPLOYER
army	lieutenant	EMPLOYER
housing	lobby	EMPLOYER
business	lobbyist	EMPLOYER
army	major	EMPLOYER
army	man	EMPLOYER
government	manager	EMPLOYER
state	manager	EMPLOYER
state	marshal	EMPLOYER
government	member	EMPLOYER
government	ministry	EMPLOYER
state	ministry	EMPLOYER
government	negotiator	EMPLOYER
airline	office	EMPLOYER
army	officer	EMPLOYER
court	officer	EMPLOYER
government	officer	EMPLOYER
police	officer	EMPLOYER
state	officer	EMPLOYER
agency	official	EMPLOYER
airline	official	EMPLOYER
army	official	EMPLOYER
bureau	official	EMPLOYER
church	official	EMPLOYER
coalition	official	EMPLOYER
committee	official	EMPLOYER
court	official	EMPLOYER
department	official	EMPLOYER
foundation	official	EMPLOYER
government	official	EMPLOYER
institute	official	EMPLOYER
jail	official	EMPLOYER
lab	official	EMPLOYER
labor	official	EMPLOYER
military	official	EMPLOYER
ministry	official	EMPLOYER
network	official	EMPLOYER
office	official	EMPLOYER
opposition	official	EMPLOYER
police	official	EMPLOYER
prison	official	EMPLOYER
state	official	EMPLOYER
team	official	EMPLOYER
university	official	EMPLOYER
village	official	EMPLOYER
government	operation	EMPLOYER
state	organization	EMPLOYER
government	panel	EMPLOYER
state	panel	EMPLOYER
army	paratrooper	EMPLOYER
state	parliament	EMPLOYER
labor	party	EMPLOYER
army	patrol	EMPLOYER
police	patrol	EMPLOYER
army	personnel	EMPLOYER
government	personnel	EMPLOYER
police	personnel	EMPLOYER
team	physician	EMPLOYER
airline	pilot	EMPLOYER
government	planner	EMPLOYER
franchise	player	EMPLOYER
state	police	EMPLOYER
army	private	EMPLOYER
government	professor	EMPLOYER
university	professor	EMPLOYER
government	prosecutor	EMPLOYER
state	prosecutor	EMPLOYER
government	regulator	EMPLOYER
state	regulator	EMPLOYER
newspaper	reporter	EMPLOYER
government	representative	EMPLOYER
labor	representative	EMPLOYER
state	representative	EMPLOYER
government	researcher	EMPLOYER
university	researcher	EMPLOYER
army	reservist	EMPLOYER
government	scientist	EMPLOYER
project	scientist	EMPLOYER
state	senator	EMPLOYER
army	soldier	EMPLOYER
government	soldier	EMPLOYER
army	source	EMPLOYER
committee	source	EMPLOYER
court	source	EMPLOYER
department	source	EMPLOYER
government	source	EMPLOYER
military	source	EMPLOYER
ministry	source	EMPLOYER
opposition	source	EMPLOYER
police	source	EMPLOYER
team	source	EMPLOYER
parliament	speaker	EMPLOYER
state	speaker	EMPLOYER
affairs	spokesman	EMPLOYER
airline	spokesman	EMPLOYER
army	spokesman	EMPLOYER
bureau	spokesman	EMPLOYER
church	spokesman	EMPLOYER
committee	spokesman	EMPLOYER
custom	spokesman	EMPLOYER
department	spokesman	EMPLOYER
employment	spokesman	EMPLOYER
environment	spokesman	EMPLOYER
family	spokesman	EMPLOYER
government	spokesman	EMPLOYER
military	spokesman	EMPLOYER
ministry	spokesman	EMPLOYER
office	spokesman	EMPLOYER
opposition	spokesman	EMPLOYER
police	spokesman	EMPLOYER
prison	spokesman	EMPLOYER
security	spokesman	EMPLOYER
solidarity	spokesman	EMPLOYER
state	spokesman	EMPLOYER
team	spokesman	EMPLOYER
transport	spokesman	EMPLOYER
university	spokesman	EMPLOYER
government	spokesperson	EMPLOYER
airline	spokeswoman	EMPLOYER
army	spokeswoman	EMPLOYER
court	spokeswoman	EMPLOYER
department	spokeswoman	EMPLOYER
government	spokeswoman	EMPLOYER
ministry	spokeswoman	EMPLOYER
police	spokeswoman	EMPLOYER
state	spokeswoman	EMPLOYER
university	spokeswoman	EMPLOYER
army	staff	EMPLOYER
committee	staff	EMPLOYER
police	superintendent	EMPLOYER
state	superintendent	EMPLOYER
university	teacher	EMPLOYER
army	team	EMPLOYER
government	technocrat	EMPLOYER
army	troop	EMPLOYER
government	troop	EMPLOYER
state	trooper	EMPLOYER
army	veteran	EMPLOYER
project	veteran	EMPLOYER
government	witness	EMPLOYER
prosecution	witness	EMPLOYER
state	witness	EMPLOYER
airline	worker	EMPLOYER
government	worker	EMPLOYER
state	worker	EMPLOYER
treasury	worker	EMPLOYER
government	work	EMPLOYER
magazine	writer	EMPLOYER
import	permit	PERFORM&ENGAGE_IN
strike	aircraft	PERFORM&ENGAGE_IN
transport	aircraft	PERFORM&ENGAGE_IN
wash	basin	PERFORM&ENGAGE_IN
lounge	wear	PERFORM&ENGAGE_IN
rescue	boat	PERFORM&ENGAGE_IN
massage	chair	PERFORM&ENGAGE_IN
work	cloth	PERFORM&ENGAGE_IN
control	equipment	PERFORM&ENGAGE_IN
rescue	equipment	PERFORM&ENGAGE_IN
support	equipment	PERFORM&ENGAGE_IN
transport	equipment	PERFORM&ENGAGE_IN
debit	card	PERFORM&ENGAGE_IN
rescue	helicopter	PERFORM&ENGAGE_IN
transport	helicopter	PERFORM&ENGAGE_IN
copy	machine	PERFORM&ENGAGE_IN
exercise	machine	PERFORM&ENGAGE_IN
fax	machine	PERFORM&ENGAGE_IN
fax	modem	PERFORM&ENGAGE_IN
transport	plane	PERFORM&ENGAGE_IN
assault	rifle	PERFORM&ENGAGE_IN
rescue	ship	PERFORM&ENGAGE_IN
research	ship	PERFORM&ENGAGE_IN
support	ship	PERFORM&ENGAGE_IN
control	technology	PERFORM&ENGAGE_IN
research	tool	PERFORM&ENGAGE_IN
rescue	vehicle	PERFORM&ENGAGE_IN
transport	vehicle	PERFORM&ENGAGE_IN
rescue	vessel	PERFORM&ENGAGE_IN
research	vessel	PERFORM&ENGAGE_IN
assault	weapon	PERFORM&ENGAGE_IN
exercise	yard	PERFORM&ENGAGE_IN
relief	material	PERFORM&ENGAGE_IN
research	material	PERFORM&ENGAGE_IN
exercise	bike	PERFORM&ENGAGE_IN
control	device	PERFORM&ENGAGE_IN
book	fair	RELATIONAL-NOUN-COMPLEMENT
job	fair	RELATIONAL-NOUN-COMPLEMENT
firework	fair	RELATIONAL-NOUN-COMPLEMENT
garment	fair	RELATIONAL-NOUN-COMPLEMENT
gem	fair	RELATIONAL-NOUN-COMPLEMENT
hardware	fair	RELATIONAL-NOUN-COMPLEMENT
photo	fair	RELATIONAL-NOUN-COMPLEMENT
science	fair	RELATIONAL-NOUN-COMPLEMENT
talent	fair	RELATIONAL-NOUN-COMPLEMENT
vegetable	fair	RELATIONAL-NOUN-COMPLEMENT
wine	fair	RELATIONAL-NOUN-COMPLEMENT
risk	system	OTHER
financing	scheme	OTHER
fraud	scheme	OTHER
land	system	OTHER
insurance	scheme	OTHER
contract	system	OTHER
permit	system	OTHER
pay	scheme	OTHER
benefit	system	OTHER
compensation	scheme	OTHER
pay	system	OTHER
credit	system	OTHER
land	program	OTHER
residency	program	OTHER
share	program	OTHER
sugar	program	OTHER
needle	program	OTHER
prison	program	OTHER
crop	program	OTHER
austerity	program	OTHER
credit	program	OTHER
child	program	OTHER
discount	program	OTHER
highway	program	OTHER
network	program	OTHER
technology	program	OTHER
job	scheme	OTHER
character	trait	RELATIONAL-NOUN-COMPLEMENT
body	shape	RELATIONAL-NOUN-COMPLEMENT
eye	shape	RELATIONAL-NOUN-COMPLEMENT
hair	shape	RELATIONAL-NOUN-COMPLEMENT
toe	shape	RELATIONAL-NOUN-COMPLEMENT
skin	tone	RELATIONAL-NOUN-COMPLEMENT
eye	color	RELATIONAL-NOUN-COMPLEMENT
makeup	color	RELATIONAL-NOUN-COMPLEMENT
oven	temperature	RELATIONAL-NOUN-COMPLEMENT
water	temperature	RELATIONAL-NOUN-COMPLEMENT
worker	age	RELATIONAL-NOUN-COMPLEMENT
warranty	length	RELATIONAL-NOUN-COMPLEMENT
family	size	RELATIONAL-NOUN-COMPLEMENT
market	size	RELATIONAL-NOUN-COMPLEMENT
wind	speed	RELATIONAL-NOUN-COMPLEMENT
classroom	style	RELATIONAL-NOUN-COMPLEMENT
hair	style	RELATIONAL-NOUN-COMPLEMENT
work	style	RELATIONAL-NOUN-COMPLEMENT
domain	name	RELATIONAL-NOUN-COMPLEMENT
place	name	RELATIONAL-NOUN-COMPLEMENT
street	name	RELATIONAL-NOUN-COMPLEMENT
account	number	RELATIONAL-NOUN-COMPLEMENT
ticket	number	RELATIONAL-NOUN-COMPLEMENT
book	title	RELATIONAL-NOUN-COMPLEMENT
job	title	RELATIONAL-NOUN-COMPLEMENT
magazine	title	RELATIONAL-NOUN-COMPLEMENT
category	code	RELATIONAL-NOUN-COMPLEMENT
aluminum	price	RELATIONAL-NOUN-COMPLEMENT
apparel	price	RELATIONAL-NOUN-COMPLEMENT
auto	price	RELATIONAL-NOUN-COMPLEMENT
beef	price	RELATIONAL-NOUN-COMPLEMENT
bond	price	RELATIONAL-NOUN-COMPLEMENT
bread	price	RELATIONAL-NOUN-COMPLEMENT
broiler	price	RELATIONAL-NOUN-COMPLEMENT
clothing	price	RELATIONAL-NOUN-COMPLEMENT
coal	price	RELATIONAL-NOUN-COMPLEMENT
consumer	price	RELATIONAL-NOUN-COMPLEMENT
contract	price	RELATIONAL-NOUN-COMPLEMENT
copper	price	RELATIONAL-NOUN-COMPLEMENT
cotton	price	RELATIONAL-NOUN-COMPLEMENT
cover	price	RELATIONAL-NOUN-COMPLEMENT
crop	price	RELATIONAL-NOUN-COMPLEMENT
delivery	price	RELATIONAL-NOUN-COMPLEMENT
discount	price	RELATIONAL-NOUN-COMPLEMENT
drug	price	RELATIONAL-NOUN-COMPLEMENT
egg	price	RELATIONAL-NOUN-COMPLEMENT
electricity	price	RELATIONAL-NOUN-COMPLEMENT
equipment	price	RELATIONAL-NOUN-COMPLEMENT
gasoline	price	RELATIONAL-NOUN-COMPLEMENT
goods	price	RELATIONAL-NOUN-COMPLEMENT
guide	price	RELATIONAL-NOUN-COMPLEMENT
hog	price	RELATIONAL-NOUN-COMPLEMENT
home	price	RELATIONAL-NOUN-COMPLEMENT
import	price	RELATIONAL-NOUN-COMPLEMENT
issue	price	RELATIONAL-NOUN-COMPLEMENT
land	price	RELATIONAL-NOUN-COMPLEMENT
market	price	RELATIONAL-NOUN-COMPLEMENT
material	price	RELATIONAL-NOUN-COMPLEMENT
metal	price	RELATIONAL-NOUN-COMPLEMENT
tool	price	RELATIONAL-NOUN-COMPLEMENT
platinum	price	RELATIONAL-NOUN-COMPLEMENT
procurement	price	RELATIONAL-NOUN-COMPLEMENT
property	price	RELATIONAL-NOUN-COMPLEMENT
psyllium	price	RELATIONAL-NOUN-COMPLEMENT
real estate	price	RELATIONAL-NOUN-COMPLEMENT
sale	price	RELATIONAL-NOUN-COMPLEMENT
sales	price	RELATIONAL-NOUN-COMPLEMENT
security	price	RELATIONAL-NOUN-COMPLEMENT
settlement	price	RELATIONAL-NOUN-COMPLEMENT
share	price	RELATIONAL-NOUN-COMPLEMENT
soybean	price	RELATIONAL-NOUN-COMPLEMENT
strike	price	RELATIONAL-NOUN-COMPLEMENT
subscription	price	RELATIONAL-NOUN-COMPLEMENT
sugar	price	RELATIONAL-NOUN-COMPLEMENT
support	price	RELATIONAL-NOUN-COMPLEMENT
takeover	price	RELATIONAL-NOUN-COMPLEMENT
ticket	price	RELATIONAL-NOUN-COMPLEMENT
tobacco	price	RELATIONAL-NOUN-COMPLEMENT
transaction	price	RELATIONAL-NOUN-COMPLEMENT
unit	price	RELATIONAL-NOUN-COMPLEMENT
wheat	price	RELATIONAL-NOUN-COMPLEMENT
widget	price	RELATIONAL-NOUN-COMPLEMENT
cash	value	RELATIONAL-NOUN-COMPLEMENT
home	value	RELATIONAL-NOUN-COMPLEMENT
import	value	RELATIONAL-NOUN-COMPLEMENT
land	value	RELATIONAL-NOUN-COMPLEMENT
liquidation	value	RELATIONAL-NOUN-COMPLEMENT
market	value	RELATIONAL-NOUN-COMPLEMENT
property	value	RELATIONAL-NOUN-COMPLEMENT
share	value	RELATIONAL-NOUN-COMPLEMENT
transfer	value	RELATIONAL-NOUN-COMPLEMENT
air	quality	RELATIONAL-NOUN-COMPLEMENT
credit	quality	RELATIONAL-NOUN-COMPLEMENT
gem	quality	RELATIONAL-NOUN-COMPLEMENT
image	quality	RELATIONAL-NOUN-COMPLEMENT
water	quality	RELATIONAL-NOUN-COMPLEMENT
child	mortality	RELATIONAL-NOUN-COMPLEMENT
shooting	percentage	RELATIONAL-NOUN-COMPLEMENT
abortion	rate	RELATIONAL-NOUN-COMPLEMENT
accident	rate	RELATIONAL-NOUN-COMPLEMENT
accuracy	rate	RELATIONAL-NOUN-COMPLEMENT
casualty	rate	RELATIONAL-NOUN-COMPLEMENT
default	rate	RELATIONAL-NOUN-COMPLEMENT
employment	rate	RELATIONAL-NOUN-COMPLEMENT
enrollment	rate	RELATIONAL-NOUN-COMPLEMENT
failure	rate	RELATIONAL-NOUN-COMPLEMENT
fatality	rate	RELATIONAL-NOUN-COMPLEMENT
homicide	rate	RELATIONAL-NOUN-COMPLEMENT
mortality	rate	RELATIONAL-NOUN-COMPLEMENT
mortgage	rate	RELATIONAL-NOUN-COMPLEMENT
pregnancy	rate	RELATIONAL-NOUN-COMPLEMENT
prevalence	rate	RELATIONAL-NOUN-COMPLEMENT
reimbursement	rate	RELATIONAL-NOUN-COMPLEMENT
response	rate	RELATIONAL-NOUN-COMPLEMENT
reversal	rate	RELATIONAL-NOUN-COMPLEMENT
suicide	rate	RELATIONAL-NOUN-COMPLEMENT
support	rate	RELATIONAL-NOUN-COMPLEMENT
survival	rate	RELATIONAL-NOUN-COMPLEMENT
vacancy	rate	RELATIONAL-NOUN-COMPLEMENT
cure	rate	RELATIONAL-NOUN-COMPLEMENT
incidence	rate	RELATIONAL-NOUN-COMPLEMENT
success	rate	RELATIONAL-NOUN-COMPLEMENT
ad	rate	RELATIONAL-NOUN-COMPLEMENT
borrowing	rate	RELATIONAL-NOUN-COMPLEMENT
capital gains	rate	RELATIONAL-NOUN-COMPLEMENT
cash	rate	RELATIONAL-NOUN-COMPLEMENT
finance	rate	RELATIONAL-NOUN-COMPLEMENT
electricity	rate	RELATIONAL-NOUN-COMPLEMENT
tariff	rate	RELATIONAL-NOUN-COMPLEMENT
credit	rate	RELATIONAL-NOUN-COMPLEMENT
inflation	rate	RELATIONAL-NOUN-COMPLEMENT
annuity	rate	RELATIONAL-NOUN-COMPLEMENT
barge	rate	RELATIONAL-NOUN-COMPLEMENT
coupon	rate	RELATIONAL-NOUN-COMPLEMENT
coverage	rate	RELATIONAL-NOUN-COMPLEMENT
insurance	rate	RELATIONAL-NOUN-COMPLEMENT
intervention	rate	RELATIONAL-NOUN-COMPLEMENT
money	rate	RELATIONAL-NOUN-COMPLEMENT
ownership	rate	RELATIONAL-NOUN-COMPLEMENT
percentage	rate	RELATIONAL-NOUN-COMPLEMENT
profit	rate	RELATIONAL-NOUN-COMPLEMENT
property	rate	RELATIONAL-NOUN-COMPLEMENT
selling	rate	RELATIONAL-NOUN-COMPLEMENT
transport	rate	RELATIONAL-NOUN-COMPLEMENT
wage	rate	RELATIONAL-NOUN-COMPLEMENT
celebrity	clout	RELATIONAL-NOUN-COMPLEMENT
consumer	clout	RELATIONAL-NOUN-COMPLEMENT
employee	clout	RELATIONAL-NOUN-COMPLEMENT
agency	clout	RELATIONAL-NOUN-COMPLEMENT
superpower	clout	RELATIONAL-NOUN-COMPLEMENT
executive	power	RELATIONAL-NOUN-COMPLEMENT
government	power	RELATIONAL-NOUN-COMPLEMENT
police	power	RELATIONAL-NOUN-COMPLEMENT
state	power	RELATIONAL-NOUN-COMPLEMENT
acquisition	cost	RELATIONAL-NOUN-COMPLEMENT
benefit	cost	RELATIONAL-NOUN-COMPLEMENT
business	cost	RELATIONAL-NOUN-COMPLEMENT
clothing	cost	RELATIONAL-NOUN-COMPLEMENT
compensation	cost	RELATIONAL-NOUN-COMPLEMENT
condemnation	cost	RELATIONAL-NOUN-COMPLEMENT
court	cost	RELATIONAL-NOUN-COMPLEMENT
developing	cost	RELATIONAL-NOUN-COMPLEMENT
development	cost	RELATIONAL-NOUN-COMPLEMENT
disposal	cost	RELATIONAL-NOUN-COMPLEMENT
drug	cost	RELATIONAL-NOUN-COMPLEMENT
electricity	cost	RELATIONAL-NOUN-COMPLEMENT
employee	cost	RELATIONAL-NOUN-COMPLEMENT
employment	cost	RELATIONAL-NOUN-COMPLEMENT
equipment	cost	RELATIONAL-NOUN-COMPLEMENT
financing	cost	RELATIONAL-NOUN-COMPLEMENT
gasoline	cost	RELATIONAL-NOUN-COMPLEMENT
health care	cost	RELATIONAL-NOUN-COMPLEMENT
housing	cost	RELATIONAL-NOUN-COMPLEMENT
import	cost	RELATIONAL-NOUN-COMPLEMENT
incentive	cost	RELATIONAL-NOUN-COMPLEMENT
insurance	cost	RELATIONAL-NOUN-COMPLEMENT
labor	cost	RELATIONAL-NOUN-COMPLEMENT
land	cost	RELATIONAL-NOUN-COMPLEMENT
manufacturing	cost	RELATIONAL-NOUN-COMPLEMENT
marketing	cost	RELATIONAL-NOUN-COMPLEMENT
material	cost	RELATIONAL-NOUN-COMPLEMENT
materials	cost	RELATIONAL-NOUN-COMPLEMENT
money	cost	RELATIONAL-NOUN-COMPLEMENT
mortality	cost	RELATIONAL-NOUN-COMPLEMENT
overhead	cost	RELATIONAL-NOUN-COMPLEMENT
pay	cost	RELATIONAL-NOUN-COMPLEMENT
payroll	cost	RELATIONAL-NOUN-COMPLEMENT
project	cost	RELATIONAL-NOUN-COMPLEMENT
rationalisation	cost	RELATIONAL-NOUN-COMPLEMENT
reorganisation	cost	RELATIONAL-NOUN-COMPLEMENT
research	cost	RELATIONAL-NOUN-COMPLEMENT
restructuring	cost	RELATIONAL-NOUN-COMPLEMENT
security	cost	RELATIONAL-NOUN-COMPLEMENT
settlement	cost	RELATIONAL-NOUN-COMPLEMENT
transaction	cost	RELATIONAL-NOUN-COMPLEMENT
transport	cost	RELATIONAL-NOUN-COMPLEMENT
wage	cost	RELATIONAL-NOUN-COMPLEMENT
market	direction	RELATIONAL-NOUN-COMPLEMENT
development	momentum	RELATIONAL-NOUN-COMPLEMENT
earnings	momentum	RELATIONAL-NOUN-COMPLEMENT
job	status	RELATIONAL-NOUN-COMPLEMENT
peace	plan	OBTAIN&ACCESS&SEEK
finance	plan	OBTAIN&ACCESS&SEEK
membership	fee	OBTAIN&ACCESS&SEEK
photo	opportunity	OBTAIN&ACCESS&SEEK
lunch	menu	OBTAIN&ACCESS&SEEK
bankruptcy	candidate	OBTAIN&ACCESS&SEEK
degree	course	OBTAIN&ACCESS&SEEK
cash	copper	OBTAIN&ACCESS&SEEK
cash	crop	OBTAIN&ACCESS&SEEK
touchdown	drive	OBTAIN&ACCESS&SEEK
course	enrollment	OBTAIN&ACCESS&SEEK
job	interview	OBTAIN&ACCESS&SEEK
job	opportunity	OBTAIN&ACCESS&SEEK
profit	opportunity	OBTAIN&ACCESS&SEEK
permit	process	OBTAIN&ACCESS&SEEK
employment	right	OBTAIN&ACCESS&SEEK
job	right	OBTAIN&ACCESS&SEEK
land	rights	OBTAIN&ACCESS&SEEK
ownership	right	OBTAIN&ACCESS&SEEK
television	right	OBTAIN&ACCESS&SEEK
video	rights	OBTAIN&ACCESS&SEEK
college	saver	OBTAIN&ACCESS&SEEK
raffle	ticket	OBTAIN&ACCESS&SEEK
banking	arm	PERFORM&ENGAGE_IN
development	arm	PERFORM&ENGAGE_IN
distribution	arm	PERFORM&ENGAGE_IN
finance	arm	PERFORM&ENGAGE_IN
financing	arm	PERFORM&ENGAGE_IN
insurance	arm	PERFORM&ENGAGE_IN
marketing	arm	PERFORM&ENGAGE_IN
publishing	arm	PERFORM&ENGAGE_IN
preservation	department	PERFORM&ENGAGE_IN
teaching	job	PERFORM&ENGAGE_IN
baseball	operation	PERFORM&ENGAGE_IN
hockey	operation	PERFORM&ENGAGE_IN
swing	state	PERFORM&ENGAGE_IN
swing	vote	PERFORM&ENGAGE_IN
swing	voter	PERFORM&ENGAGE_IN
swing	district	PERFORM&ENGAGE_IN
extraction	force	PERFORM&ENGAGE_IN
intervention	force	PERFORM&ENGAGE_IN
invasion	force	PERFORM&ENGAGE_IN
election	board	PERFORM&ENGAGE_IN
development	body	PERFORM&ENGAGE_IN
inquiry	commission	PERFORM&ENGAGE_IN
inspection	commission	PERFORM&ENGAGE_IN
police	commission	PERFORM&ENGAGE_IN
appropriation	committee	PERFORM&ENGAGE_IN
banking	committee	PERFORM&ENGAGE_IN
bargaining	committee	PERFORM&ENGAGE_IN
commerce	committee	PERFORM&ENGAGE_IN
compensation	committee	PERFORM&ENGAGE_IN
coordination	committee	PERFORM&ENGAGE_IN
development	committee	PERFORM&ENGAGE_IN
expansion	committee	PERFORM&ENGAGE_IN
intelligence	committee	PERFORM&ENGAGE_IN
investigating	committee	PERFORM&ENGAGE_IN
investigation	committee	PERFORM&ENGAGE_IN
judiciary	committee	PERFORM&ENGAGE_IN
mediation	committee	PERFORM&ENGAGE_IN
sanction	committee	PERFORM&ENGAGE_IN
screening	committee	PERFORM&ENGAGE_IN
selection	committee	PERFORM&ENGAGE_IN
auction	company	PERFORM&ENGAGE_IN
aviation	company	PERFORM&ENGAGE_IN
banking	company	PERFORM&ENGAGE_IN
capitalization	company	PERFORM&ENGAGE_IN
catering	company	PERFORM&ENGAGE_IN
cleaning	company	PERFORM&ENGAGE_IN
commerce	company	PERFORM&ENGAGE_IN
computing	company	PERFORM&ENGAGE_IN
contracting	company	PERFORM&ENGAGE_IN
delivery	company	PERFORM&ENGAGE_IN
development	company	PERFORM&ENGAGE_IN
distribution	company	PERFORM&ENGAGE_IN
drilling	company	PERFORM&ENGAGE_IN
equipment	company	PERFORM&ENGAGE_IN
finance	company	PERFORM&ENGAGE_IN
forestry	company	PERFORM&ENGAGE_IN
gaming	company	PERFORM&ENGAGE_IN
holding	company	PERFORM&ENGAGE_IN
insurance	company	PERFORM&ENGAGE_IN
logging	company	PERFORM&ENGAGE_IN
manufacturing	company	PERFORM&ENGAGE_IN
marketing	company	PERFORM&ENGAGE_IN
mining	company	PERFORM&ENGAGE_IN
recycling	company	PERFORM&ENGAGE_IN
relation	company	PERFORM&ENGAGE_IN
shareholding	company	PERFORM&ENGAGE_IN
space	company	PERFORM&ENGAGE_IN
telecommunication	company	PERFORM&ENGAGE_IN
marketing	cooperative	PERFORM&ENGAGE_IN
development	corporation	PERFORM&ENGAGE_IN
accounting	department	PERFORM&ENGAGE_IN
banking	department	PERFORM&ENGAGE_IN
commerce	department	PERFORM&ENGAGE_IN
correction	department	PERFORM&ENGAGE_IN
development	department	PERFORM&ENGAGE_IN
finance	department	PERFORM&ENGAGE_IN
forestry	department	PERFORM&ENGAGE_IN
inspection	department	PERFORM&ENGAGE_IN
insurance	department	PERFORM&ENGAGE_IN
investigation	department	PERFORM&ENGAGE_IN
marketing	department	PERFORM&ENGAGE_IN
organization	department	PERFORM&ENGAGE_IN
police	department	PERFORM&ENGAGE_IN
probation	department	PERFORM&ENGAGE_IN
taxation	department	PERFORM&ENGAGE_IN
telecommunication	department	PERFORM&ENGAGE_IN
banking	division	PERFORM&ENGAGE_IN
development	division	PERFORM&ENGAGE_IN
drilling	division	PERFORM&ENGAGE_IN
equipment	division	PERFORM&ENGAGE_IN
finance	division	PERFORM&ENGAGE_IN
insurance	division	PERFORM&ENGAGE_IN
investigation	division	PERFORM&ENGAGE_IN
manufacturing	division	PERFORM&ENGAGE_IN
marketing	division	PERFORM&ENGAGE_IN
publishing	division	PERFORM&ENGAGE_IN
abortion	doctor	PERFORM&ENGAGE_IN
publishing	empire	PERFORM&ENGAGE_IN
manufacturing	enterprise	PERFORM&ENGAGE_IN
banking	firm	PERFORM&ENGAGE_IN
development	firm	PERFORM&ENGAGE_IN
finance	firm	PERFORM&ENGAGE_IN
insurance	firm	PERFORM&ENGAGE_IN
manufacturing	firm	PERFORM&ENGAGE_IN
marketing	firm	PERFORM&ENGAGE_IN
mining	firm	PERFORM&ENGAGE_IN
telecommunication	firm	PERFORM&ENGAGE_IN
banking	giant	PERFORM&ENGAGE_IN
insurance	giant	PERFORM&ENGAGE_IN
mining	giant	PERFORM&ENGAGE_IN
publishing	giant	PERFORM&ENGAGE_IN
telecommunication	giant	PERFORM&ENGAGE_IN
abortion	group	PERFORM&ENGAGE_IN
aerospace	group	PERFORM&ENGAGE_IN
banking	group	PERFORM&ENGAGE_IN
